device_name	latitude	longitude	timestamp_from	timestamp_until	bike_count	bike_avg_speed	weather_timestamp	temperature	wind_speed	wind_direction	humidity	barometer	visibility	time_window	Ice fog	Snow flurries	Light fog	Quite cool	Rain	Sleet	Haze	Freezing rain	Cool	Fog	Light rain	Light freezing rain	Cloudy	Light snow	Chilly	Drizzle	Low clouds	Rain showers	Snow	Scattered showers	Snow showers	Hail	Thundershowers	Sprinkles	Thunderstorms	Partly sunny	Scattered clouds	Clear	Sunny	Partly cloudy	Passing clouds	Broken clouds	time_day_of_week_window
CEK049	50.82448	4.393893	1561002300	1561003200	24	22	1561002600	15	9	Wind blowing from 240° West-southwest to East-northeast	88	1011	7.0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
CEK049	50.82448	4.393893	1561003200	1561004100	30	24	1561004400	15	9	Wind blowing from 220° Southwest to Northeast	88	1011	7.0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
CEK049	50.82448	4.393893	1561004100	1561005000	32	21	1561004400	15	9	Wind blowing from 220° Southwest to Northeast	88	1011	7.0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
CEK049	50.82448	4.393893	1561005000	1561005900	31	22	1561006200	15	13	Wind blowing from 220° Southwest to Northeast	94	1011	8.0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561005900	1561006800	36	23	1561006200	15	13	Wind blowing from 220° Southwest to Northeast	94	1011	8.0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561006800	1561007700	34	23	1561008000	15	15	Wind blowing from 240° West-southwest to East-northeast	88	1011	6.0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561007700	1561008600	16	23	1561008000	15	15	Wind blowing from 240° West-southwest to East-northeast	88	1011	6.0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561008600	1561009500	18	22	1561009800	15	13	Wind blowing from 230° Southwest to Northeast	88	1012	6.0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561009500	1561010400	14	24	1561009800	15	13	Wind blowing from 230° Southwest to Northeast	88	1012	6.0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561010400	1561011300	6	22	1561011600	15	17	Wind blowing from 230° Southwest to Northeast	88	1012	6.0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561011300	1561012200	14	24	1561011600	15	17	Wind blowing from 230° Southwest to Northeast	88	1012	6.0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561012200	1561013100	6	25	1561013400	16	13	Wind blowing from 220° Southwest to Northeast	83	1012	6.0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561013100	1561014000	5	22	1561013400	16	13	Wind blowing from 220° Southwest to Northeast	83	1012	6.0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561014000	1561014900	5	22	1561015200	16	13	Wind blowing from 220° Southwest to Northeast	88	1012		9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561014900	1561015800	6	19	1561015200	16	13	Wind blowing from 220° Southwest to Northeast	88	1012		9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561015800	1561016700	10	19	1561017000	17	15	Wind blowing from 230° Southwest to Northeast	77	1012		9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561016700	1561017600	14	23	1561017000	17	15	Wind blowing from 230° Southwest to Northeast	77	1012		9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
CEK049	50.82448	4.393893	1561017600	1561018500	13	23	1561018800	17	17	Wind blowing from 240° West-southwest to East-northeast	77	1012		10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561018500	1561019400	6	23	1561018800	17	17	Wind blowing from 240° West-southwest to East-northeast	77	1012		10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561019400	1561020300	5	22	1561020600	17	15	Wind blowing from 240° West-southwest to East-northeast	83	1012		10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561020300	1561021200	11	24	1561020600	17	15	Wind blowing from 240° West-southwest to East-northeast	83	1012		10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561021200	1561022100	13	21	1561022400	18	13	Wind blowing from 240° West-southwest to East-northeast	78	1012		11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561022100	1561023000	13	20	1561022400	18	13	Wind blowing from 240° West-southwest to East-northeast	78	1012		11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CEK049	50.82448	4.393893	1561023000	1561023900	11	22	1561024200	19	15	Wind blowing from 260° West to East	68	1012		11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
