device_name	latitude	longitude	timestamp_from	timestamp_until	bike_count	bike_avg_speed
CEK049	50.82448	4.393893	1544607900	1544608800	12	19
CEK049	50.82448	4.393893	1544608800	1544609700	10	21
CEK049	50.82448	4.393893	1544609700	1544610600	6	20
CEK049	50.82448	4.393893	1544610600	1544611500	12	20
CEK049	50.82448	4.393893	1544611500	1544612400	12	20
CEK049	50.82448	4.393893	1544612400	1544613300	6	20
CEK049	50.82448	4.393893	1544613300	1544614200	17	20
CEK049	50.82448	4.393893	1544614200	1544615100	15	20
CEK049	50.82448	4.393893	1544615100	1544616000	8	22
CEK049	50.82448	4.393893	1544616000	1544616900	15	19
CEK049	50.82448	4.393893	1544616900	1544617800	7	18
CEK049	50.82448	4.393893	1544617800	1544618700	16	21
CEK049	50.82448	4.393893	1544618700	1544619600	6	24
CEK049	50.82448	4.393893	1544619600	1544620500	11	20
CEK049	50.82448	4.393893	1544620500	1544621400	9	24
CEK049	50.82448	4.393893	1544621400	1544622300	12	21
CEK049	50.82448	4.393893	1544622300	1544623200	14	21
CEK049	50.82448	4.393893	1544623200	1544624100	11	19
CEK049	50.82448	4.393893	1544624100	1544625000	21	19
CEK049	50.82448	4.393893	1544625000	1544625900	17	21
CEK049	50.82448	4.393893	1544625900	1544626800	19	19
CEK049	50.82448	4.393893	1544626800	1544627700	17	21
CEK049	50.82448	4.393893	1544627700	1544628600	23	20
CEK049	50.82448	4.393893	1544628600	1544629500	25	19
CEK049	50.82448	4.393893	1544629500	1544630400	37	20
CEK049	50.82448	4.393893	1544630400	1544631300	29	21
CEK049	50.82448	4.393893	1544631300	1544632200	19	20
CEK049	50.82448	4.393893	1544632200	1544633100	25	21
CEK049	50.82448	4.393893	1544633100	1544634000	27	20
CEK049	50.82448	4.393893	1544634000	1544634900	23	21
CEK049	50.82448	4.393893	1544634900	1544635800	27	20
CEK049	50.82448	4.393893	1544635800	1544636700	15	23
CEK049	50.82448	4.393893	1544636700	1544637600	11	21
CEK049	50.82448	4.393893	1544637600	1544638500	14	22
CEK049	50.82448	4.393893	1544638500	1544639400	9	22
CEK049	50.82448	4.393893	1544639400	1544640300	17	19
CEK049	50.82448	4.393893	1544640300	1544641200	6	19
CEK049	50.82448	4.393893	1544641200	1544642100	6	18
CEK049	50.82448	4.393893	1544642100	1544643000	17	21
CEK049	50.82448	4.393893	1544643000	1544643900	5	23
CEK049	50.82448	4.393893	1544643900	1544644800	3	17
CEK049	50.82448	4.393893	1544644800	1544645700	6	20
CEK049	50.82448	4.393893	1544645700	1544646600	8	22
CEK049	50.82448	4.393893	1544646600	1544647500	2	20
CEK049	50.82448	4.393893	1544647500	1544648400	2	18
CEK049	50.82448	4.393893	1544648400	1544649300	6	20
CEK049	50.82448	4.393893	1544649300	1544650200	3	20
CEK049	50.82448	4.393893	1544650200	1544651100	4	21
CEK049	50.82448	4.393893	1544651100	1544652000	4	21
CEK049	50.82448	4.393893	1544652000	1544652900	2	18
CEK049	50.82448	4.393893	1544652900	1544653800	4	20
CEK049	50.82448	4.393893	1544653800	1544654700	1	22
CEK049	50.82448	4.393893	1544655600	1544656500	1	22
CEK049	50.82448	4.393893	1544657400	1544658300	1	20
CEK049	50.82448	4.393893	1544658300	1544659200	2	16
CEK049	50.82448	4.393893	1544659200	1544660100	2	12
CEK049	50.82448	4.393893	1544661900	1544662800	1	15
CEK049	50.82448	4.393893	1544662800	1544663700	1	18
CEK049	50.82448	4.393893	1544672700	1544673600	1	20
CEK049	50.82448	4.393893	1544673600	1544674500	1	16
CEK049	50.82448	4.393893	1544674500	1544675400	2	21
CEK049	50.82448	4.393893	1544675400	1544676300	1	23
CEK049	50.82448	4.393893	1544676300	1544677200	8	18
CEK049	50.82448	4.393893	1544677200	1544678100	3	22
CEK049	50.82448	4.393893	1544678100	1544679000	4	15
CEK049	50.82448	4.393893	1544679000	1544679900	12	21
